DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
BOOKKEEPER,6,81.3566739606127,RandomForest,GreedyStepwise,None,None,0.8292682926829268,0.6071428571428571,0.862331081081081,0.663653689082494,34.0,7.0,363.0,22.0
BOOKKEEPER,6,81.3566739606127,NaiveBayes,GreedyStepwise,None,None,1.0,0.625,0.8973214285714286,0.7432703897147446,35.0,0.0,370.0,21.0
BOOKKEEPER,6,81.3566739606127,IBk,GreedyStepwise,None,None,0.7727272727272727,0.6071428571428571,0.8761341698841699,0.6381397324272672,34.0,10.0,360.0,22.0
BOOKKEEPER,6,81.3566739606127,RandomForest,BestFirst,None,None,0.8292682926829268,0.6071428571428571,0.862331081081081,0.663653689082494,34.0,7.0,363.0,22.0
BOOKKEEPER,6,81.3566739606127,NaiveBayes,BestFirst,None,None,1.0,0.625,0.8973214285714286,0.7432703897147446,35.0,0.0,370.0,21.0
BOOKKEEPER,6,81.3566739606127,IBk,BestFirst,None,None,0.7727272727272727,0.6071428571428571,0.8761341698841699,0.6381397324272672,34.0,10.0,360.0,22.0
BOOKKEEPER,6,81.3566739606127,RandomForest,None,None,SensitiveLearning,0.6825396825396826,0.7678571428571429,0.9289816602316602,0.677849580640726,43.0,20.0,350.0,13.0
BOOKKEEPER,6,81.3566739606127,NaiveBayes,None,None,SensitiveLearning,0.3504273504273504,0.7321428571428571,0.8708494208494209,0.3602336865036143,41.0,76.0,294.0,15.0
BOOKKEEPER,6,81.3566739606127,IBk,None,None,SensitiveLearning,0.7954545454545454,0.625,0.8862934362934363,0.6607559991505627,35.0,9.0,361.0,21.0
BOOKKEEPER,6,81.3566739606127,RandomForest,GreedyStepwise,None,SensitiveLearning,0.4,0.7142857142857143,0.8697393822393822,0.4140726798899667,40.0,60.0,310.0,16.0
BOOKKEEPER,6,81.3566739606127,RandomForest,BestFirst,None,SensitiveLearning,0.4,0.7142857142857143,0.8697393822393822,0.4140726798899667,40.0,60.0,310.0,16.0
BOOKKEEPER,6,81.3566739606127,NaiveBayes,GreedyStepwise,None,SensitiveLearning,0.9,0.6428571428571429,0.8973214285714286,0.7192442882249559,36.0,4.0,366.0,20.0
BOOKKEEPER,6,81.3566739606127,NaiveBayes,BestFirst,None,SensitiveLearning,0.9,0.6428571428571429,0.8973214285714286,0.7192442882249559,36.0,4.0,366.0,20.0
BOOKKEEPER,6,81.3566739606127,IBk,GreedyStepwise,None,SensitiveLearning,0.42168674698795183,0.625,0.876230694980695,0.4111542930405865,35.0,48.0,322.0,21.0
BOOKKEEPER,6,81.3566739606127,IBk,BestFirst,None,SensitiveLearning,0.42168674698795183,0.625,0.876230694980695,0.4111542930405865,35.0,48.0,322.0,21.0
BOOKKEEPER,7,83.79171250458378,RandomForest,None,None,None,0.627906976744186,0.7941176470588235,0.9266508073817762,0.6732240437158469,27.0,16.0,392.0,7.0
BOOKKEEPER,7,83.79171250458378,NaiveBayes,None,None,None,0.28888888888888886,0.7647058823529411,0.9331026528258363,0.34636871508379885,26.0,64.0,344.0,8.0
BOOKKEEPER,7,83.79171250458378,IBk,None,None,None,0.6222222222222222,0.8235294117647058,0.9248846597462514,0.6808964781216647,28.0,17.0,391.0,6.0
BOOKKEEPER,7,83.79171250458378,RandomForest,GreedyStepwise,None,None,0.6086956521739131,0.8235294117647058,0.9305795847750865,0.670886075949367,28.0,18.0,390.0,6.0
BOOKKEEPER,7,83.79171250458378,NaiveBayes,GreedyStepwise,None,None,1.0,0.7058823529411765,0.9372837370242214,0.8158640226628893,24.0,0.0,408.0,10.0
BOOKKEEPER,7,83.79171250458378,IBk,GreedyStepwise,None,None,0.5185185185185185,0.8235294117647058,0.9495386389850058,0.5984555984555987,28.0,26.0,382.0,6.0
BOOKKEEPER,7,83.79171250458378,RandomForest,BestFirst,None,None,0.6086956521739131,0.8235294117647058,0.9305795847750865,0.670886075949367,28.0,18.0,390.0,6.0
BOOKKEEPER,7,83.79171250458378,NaiveBayes,BestFirst,None,None,1.0,0.7058823529411765,0.9372837370242214,0.8158640226628893,24.0,0.0,408.0,10.0
BOOKKEEPER,7,83.79171250458378,IBk,BestFirst,None,None,0.5185185185185185,0.8235294117647058,0.9495386389850058,0.5984555984555987,28.0,26.0,382.0,6.0
BOOKKEEPER,7,83.79171250458378,RandomForest,None,None,SensitiveLearning,0.39436619718309857,0.8235294117647058,0.9347606689734718,0.47914963205233024,28.0,43.0,365.0,6.0
BOOKKEEPER,7,83.79171250458378,NaiveBayes,None,None,SensitiveLearning,0.234375,0.8823529411764706,0.9331026528258363,0.28324324324324335,30.0,98.0,310.0,4.0
BOOKKEEPER,7,83.79171250458378,IBk,None,None,SensitiveLearning,0.6222222222222222,0.8235294117647058,0.9248846597462514,0.6808964781216647,28.0,17.0,391.0,6.0
BOOKKEEPER,7,83.79171250458378,RandomForest,GreedyStepwise,None,SensitiveLearning,0.4117647058823529,0.8235294117647058,0.9306516724336793,0.4974789915966387,28.0,40.0,368.0,6.0
BOOKKEEPER,7,83.79171250458378,RandomForest,BestFirst,None,SensitiveLearning,0.4117647058823529,0.8235294117647058,0.9306516724336793,0.4974789915966387,28.0,40.0,368.0,6.0
BOOKKEEPER,7,83.79171250458378,NaiveBayes,GreedyStepwise,None,SensitiveLearning,0.23255813953488372,0.8823529411764706,0.9372837370242214,0.28049435787211197,30.0,99.0,309.0,4.0
BOOKKEEPER,7,83.79171250458378,NaiveBayes,BestFirst,None,SensitiveLearning,0.23255813953488372,0.8823529411764706,0.9372837370242214,0.28049435787211197,30.0,99.0,309.0,4.0
BOOKKEEPER,7,83.79171250458378,IBk,GreedyStepwise,None,SensitiveLearning,0.4745762711864407,0.8235294117647058,0.9495386389850058,0.5591200733272225,28.0,31.0,377.0,6.0
BOOKKEEPER,7,83.79171250458378,IBk,BestFirst,None,SensitiveLearning,0.4745762711864407,0.8235294117647058,0.9495386389850058,0.5591200733272225,28.0,31.0,377.0,6.0
BOOKKEEPER,8,85.97099621689786,RandomForest,None,None,None,0.4,0.2926829268292683,0.8148695967157691,0.2821348893083922,12.0,18.0,386.0,29.0
BOOKKEEPER,8,85.97099621689786,NaiveBayes,None,None,None,0.2962962962962963,0.5853658536585366,0.8589108910891089,0.3088901947615851,24.0,57.0,347.0,17.0
BOOKKEEPER,8,85.97099621689786,IBk,None,None,None,0.3,0.2926829268292683,0.7957920792079208,0.22585075537921523,12.0,28.0,376.0,29.0
BOOKKEEPER,8,85.97099621689786,RandomForest,GreedyStepwise,None,None,0.625,0.24390243902439024,0.8512738468968848,0.31547000374173684,10.0,6.0,398.0,31.0
BOOKKEEPER,8,85.97099621689786,NaiveBayes,GreedyStepwise,None,None,1.0,0.07317073170731707,0.8282419705385172,0.12537498706941097,3.0,0.0,404.0,38.0
